"Amazon Web Services Japan G.K.","Elastic Compute Cloud","Asia Pacific (Tokyo)","Amazon Elastic Compute Cloud running Linux/UNIX","$0.0152 per On Demand Linux t2.micro Instance Hour","1,488 Hrs","USD 22.62","t2.micro","1488"
"Amazon Web Services Japan G.K.","Elastic Compute Cloud","Asia Pacific (Tokyo)","Amazon Elastic Compute Cloud running Linux/UNIX","$0.0245 per On Demand Linux t3a.small Instance Hour","1,488 Hrs","USD 36.46","t3a.small","1488"
"Amazon Web Services Japan G.K.","Elastic Compute Cloud","Asia Pacific (Tokyo)","Amazon Elastic Compute Cloud running Linux/UNIX","t3a.small Linux instance usage in ap-northeast-1 covered by EC2 Instance Savings Plans","1,488 Hrs","(USD 36.46)","t3a.small","1488"
"Amazon Web Services Japan G.K.","Elastic Compute Cloud","Asia Pacific (Tokyo)","Amazon Elastic Compute Cloud running Linux/UNIX","$0.049 per On Demand Linux t3a.medium Instance Hour","3,081.633 Hrs","USD 151.00","t3a.medium","3081.633"
"Amazon Web Services Japan G.K.","Elastic Compute Cloud","Asia Pacific (Tokyo)","Amazon Elastic Compute Cloud running Linux/UNIX","t3a.medium Linux instance usage in ap-northeast-1 covered by EC2 Instance Savings Plans","3,081.633 Hrs","(USD 151.00)","t3a.medium","3081.633"
"Amazon Web Services Japan G.K.","Elastic Compute Cloud","Asia Pacific (Tokyo)","Amazon Elastic Compute Cloud running Linux/UNIX","$0.0544 per On Demand Linux t3.medium Instance Hour","2,232 Hrs","USD 121.42","t3.medium","2232"
"Amazon Web Services Japan G.K.","Elastic Compute Cloud","Asia Pacific (Tokyo)","Amazon Elastic Compute Cloud running Linux/UNIX","t3.medium Linux instance usage in ap-northeast-1 covered by EC2 Instance Savings Plans","1,811.036 Hrs","(USD 98.52)","t3.medium","1811.036"
"Amazon Web Services Japan G.K.","Elastic Compute Cloud","Asia Pacific (Tokyo)","Amazon Elastic Compute Cloud running Linux/UNIX","$0.0608 per On Demand Linux t2.medium Instance Hour","4,726.925 Hrs","USD 287.40","t2.medium","4726.925"
"Amazon Web Services Japan G.K.","Elastic Compute Cloud","Asia Pacific (Tokyo)","Amazon Elastic Compute Cloud running Linux/UNIX","$0.1958 per On Demand Linux t3a.xlarge Instance Hour","557.021 Hrs","USD 109.06","t3a.xlarge","557.021"
"Amazon Web Services Japan G.K.","Elastic Compute Cloud","Asia Pacific (Tokyo)","Amazon Elastic Compute Cloud running Linux/UNIX","t3a.xlarge Linux instance usage in ap-northeast-1 covered by EC2 Instance Savings Plans","376.588 Hrs","(USD 73.74)","t3a.xlarge","376.588"
"Amazon Web Services Japan G.K.","Elastic Compute Cloud","Asia Pacific (Tokyo)","Amazon Elastic Compute Cloud running Linux/UNIX","$0.2176 per On Demand Linux t3.xlarge Instance Hour","744 Hrs","USD 161.89","t3.xlarge","744"
